kernel_id,noise_sigma,method,psnr,ssim,mae
disk_R5,0.01,blurred,21.683423954998407,0.5257200158444694,0.05664451792836189
disk_R5,0.01,richardson_lucy,24.036687274200546,0.6464402466731201,0.044358370204766594
disk_R5,0.01,tv_montalto,24.224870724278407,0.6643199323667518,0.04084202709297339
disk_R5,0.01,wiener,24.339988518738163,0.6236647638277331,0.04548185194532076
disk_R5,0.05,blurred,20.34644181487505,0.3233787927754887,0.0722132424513499
disk_R5,0.05,richardson_lucy,20.908025284340187,0.3821725666605433,0.06898619482914607
disk_R5,0.05,tv_montalto,22.952804744995518,0.5961193985320842,0.04735236739118894
disk_R5,0.05,wiener,20.953200583523312,0.5241284674423838,0.07062330345312755
disk_R5,0.1,blurred,17.762711233206932,0.18781685316052354,0.10153302053610484
disk_R5,0.1,richardson_lucy,17.60029789795077,0.23077499043324334,0.10346509267886479
disk_R5,0.1,tv_montalto,22.355502686299,0.5603807642900097,0.051826064785321556
disk_R5,0.1,wiener,18.3682217227993,0.463469677339111,0.09999218086401622
gaussian_sigma1,0.01,blurred,27.30929866114387,0.8333781800157092,0.029387357955177624
gaussian_sigma1,0.01,richardson_lucy,29.3618911451134,0.8369440931358635,0.026298463344573975
gaussian_sigma1,0.01,tv_montalto,29.598586578937113,0.8743095366505781,0.023417102172970772
gaussian_sigma1,0.01,wiener,28.563693629268894,0.8007090762158633,0.02930368793507417
gaussian_sigma1,0.05,blurred,23.62713184635044,0.5630439988181709,0.051377467811107635
gaussian_sigma1,0.05,richardson_lucy,20.533396949214527,0.44818485529258867,0.07483256111542384
gaussian_sigma1,0.05,tv_montalto,26.728394617998998,0.7772359778854594,0.032477255910634995
gaussian_sigma1,0.05,wiener,22.586322060652193,0.6353475713854383,0.06014227742950121
gaussian_sigma1,0.1,blurred,19.31760094422469,0.35691646571562874,0.08611733963092168
gaussian_sigma1,0.1,richardson_lucy,15.947256790796068,0.27186945399425,0.1277549092968305
gaussian_sigma1,0.1,tv_montalto,25.13575224629561,0.7007762910713579,0.03956697757045428
gaussian_sigma1,0.1,wiener,18.882961822749284,0.5072571180578541,0.09454976518948872
gaussian_sigma3,0.01,blurred,21.758629518936484,0.5430110806359187,0.05701933428645134
gaussian_sigma3,0.01,richardson_lucy,23.52610055037292,0.6369247830425633,0.045616390804449715
gaussian_sigma3,0.01,tv_montalto,23.617212172053446,0.6409492594102335,0.043120063841342926
gaussian_sigma3,0.01,wiener,23.838974122032315,0.6676854840461691,0.04370147983233134
gaussian_sigma3,0.05,blurred,20.413836002695486,0.3359168400953278,0.07205401360988617
gaussian_sigma3,0.05,richardson_lucy,21.137887554902704,0.394349779929499,0.06678860013683637
gaussian_sigma3,0.05,tv_montalto,22.871286672172488,0.5894309877598921,0.048285948733488716
gaussian_sigma3,0.05,wiener,20.899347765142362,0.56559429112048,0.07098972797393799
gaussian_sigma3,0.1,blurred,17.794012951831363,0.19451363454964146,0.1012392317255338
gaussian_sigma3,0.1,richardson_lucy,17.883268253847998,0.23787682670878307,0.10042134672403336
gaussian_sigma3,0.1,tv_montalto,22.23048559169528,0.5519307264501107,0.05282767986257871
gaussian_sigma3,0.1,wiener,18.340582586428393,0.5081830035355716,0.10055785377820332
motion_L10,0.01,blurred,22.770196433626612,0.6352463726516148,0.04842806483308474
motion_L10,0.01,richardson_lucy,26.165970625258534,0.7383921341986165,0.03668122738599777
motion_L10,0.01,tv_montalto,27.028843565503177,0.7952636805313477,0.030579799165328343
motion_L10,0.01,wiener,25.58875957820642,0.6782064099078743,0.04125656932592392
motion_L10,0.05,blurred,21.133175885712273,0.4145172577525924,0.0659051847954591
motion_L10,0.05,richardson_lucy,20.09792954183958,0.3962705723267237,0.07737571001052856
motion_L10,0.05,tv_montalto,24.57941523304994,0.6862197936167754,0.04039104220767816
motion_L10,0.05,wiener,21.088281888279443,0.5101849773366918,0.07026552657286327
motion_L10,0.1,blurred,18.23259135564726,0.2555529759209843,0.09641554703315099
motion_L10,0.1,richardson_lucy,16.280646069895756,0.24126290875400405,0.1208999330798785
motion_L10,0.1,tv_montalto,23.40605086417304,0.6102344004698065,0.047561285396416984
motion_L10,0.1,wiener,18.174785395722953,0.409939465405154,0.10145725558201472
